departement,pcode,commune,cellules,population,demande_obstetricale,HOPITAL_NC,SONUB,SONUC
Artibonite,HT0511,Gonaives,212,366051.0,110789.0,24.0,5.0,4.0
Artibonite,HT0512,Ennery,36,52529.0,13251.0,5.0,0.0,0.0
Artibonite,HT0513,L'Estere,88,44802.0,12329.999999999998,4.0,0.0,0.0
Artibonite,HT0521,Gros Morne,93,162808.0,40625.0,10.0,3.0,0.0
Artibonite,HT0522,Terre Neuve,32,32784.0,7622.999999999999,1.0,0.0,0.0
Artibonite,HT0523,Anse Rouge,201,47668.0,12525.000000000002,16.0,2.0,1.0
Artibonite,HT0531,Saint-Marc,230,281577.0,82866.0,38.0,20.0,10.0
Artibonite,HT0532,Verrettes,136,146485.0,38984.0,11.0,0.0,2.0
Artibonite,HT0533,La Chapelle,25,32609.000000000004,7694.000000000001,2.0,0.0,0.0
Artibonite,HT0541,Dessalines,142,185387.0,47191.00000000001,11.0,0.0,2.0
Artibonite,HT0542,Petite Riviere de l'Artibonite,134,165493.99999999997,42901.0,10.0,0.0,4.0
Artibonite,HT0543,Grande Saline,35,23598.000000000004,6238.0,0.0,0.0,5.0
Artibonite,HT0544,Desdunes,38,37602.0,10098.999999999998,5.0,0.0,1.0
Artibonite,HT0551,Saint-Michel de l'Attalaye,99,154615.0,38840.0,7.0,0.0,0.0
Artibonite,HT0552,Marmelade,7,39659.0,9778.0,2.0,0.0,0.0
Centre,HT0611,Hinche,64,163137.0,43101.0,9.0,1.0,1.0
Centre,HT0612,Maissade,39,78577.0,19482.0,8.0,0.0,0.0
Centre,HT0613,Thomonde,46,85152.0,20646.0,8.0,0.0,0.0
Centre,HT0614,Cerca Carvajal,3,31774.0,7888.999999999999,3.0,0.0,0.0
Centre,HT0621,Mirebalais,94,129573.0,34605.0,10.0,0.0,5.0
Centre,HT0622,Saut d'Eau,35,52389.0,12992.0,0.0,0.0,1.0
Centre,HT0623,Boucan Carre,56,79705.0,19515.0,0.0,0.0,1.0
Centre,HT0631,Lascahobas,24,65198.0,16447.0,5.0,0.0,0.0
Centre,HT0632,Belladere,61,123067.0,30561.0,5.0,0.0,1.0
Centre,HT0633,Savanette,31,46902.0,12326.0,2.0,0.0,0.0
Centre,HT0641,Cerca La Source,39,73041.0,18372.0,8.0,0.0,0.0
Centre,HT0642,Thomassique,20,85148.0,20997.0,1.0,0.0,1.0
Grande'Anse,HT0811,Jeremie,87,155299.0,42355.0,12.0,3.0,6.0
Grande'Anse,HT0812,Abricots,10,47470.0,10951.000000000002,3.0,2.0,0.0
Grande'Anse,HT0813,Bonbon,5,10653.0,2374.0,2.0,0.0,0.0
Grande'Anse,HT0814,Moron,19,36686.0,8669.0,1.0,0.0,3.0
Grande'Anse,HT0815,Chambellan,8,35368.0,8843.0,2.0,0.0,0.0
Grande'Anse,HT0821,Anse d'Hainault,12,49099.00000000001,12156.000000000002,4.0,0.0,0.0
Grande'Anse,HT0822,Dame Marie,14,41207.0,10835.999999999998,5.0,0.0,0.0
Grande'Anse,HT0823,Les Irois,11,24756.0,5827.0,2.0,0.0,0.0
Grande'Anse,HT0831,Corail,14,28292.000000000004,6481.000000000001,6.0,0.0,0.0
Grande'Anse,HT0832,Roseaux,38,41589.0,9319.0,3.0,0.0,2.0
Grande'Anse,HT0833,Beaumont,32,35380.0,9293.0,2.0,0.0,0.0
Grande'Anse,HT0834,Pestel,53,48575.0,11448.0,8.0,0.0,0.0
Nippes,HT1011,Miragoane,71,70617.0,19606.0,8.0,0.0,0.0
Nippes,HT1012,Petite Riviere de Nippes,52,34943.0,8775.0,5.0,0.0,0.0
Nippes,HT1013,Fonds des Negres,51,38319.0,10600.000000000002,3.0,0.0,0.0
Nippes,HT1014,Paillant,28,19644.0,5671.0,2.0,0.0,0.0
Nippes,HT1021,Anse-a-Veau,48,37907.0,9374.0,4.0,0.0,0.0
Nippes,HT1022,Petit Trou de Nippes,35,33793.0,7717.0,3.0,0.0,0.0
Nippes,HT1023,L'Asile,94,45890.0,11481.999999999998,4.0,0.0,0.0
Nippes,HT1024,Arnaud,30,23479.0,5720.0,1.0,0.0,0.0
Nippes,HT1025,Plaisance du Sud,13,32167.999999999996,7388.999999999999,2.0,0.0,0.0
Nippes,HT1031,Baraderes,29,45622.0,10583.0,1.0,1.0,0.0
Nippes,HT1032,Grand-Boucan,12,6460.000000000001,1529.0,2.0,0.0,0.0
North,HT0311,Cap-Haitien,46,303590.0,97764.99999999999,20.0,25.0,1.0
North,HT0312,Quartier Morin,60,29881.0,7966.999999999999,6.0,2.0,2.0
North,HT0313,Limonade,54,61261.00000000001,15921.000000000002,4.0,2.0,0.0
North,HT0321,Acul du Nord,28,59631.99999999999,15800.999999999998,8.0,0.0,0.0
North,HT0322,Plaine du Nord,33,43982.0,11749.0,9.0,3.0,0.0
