departement,pcode,commune,demande,population,mediane_sonuc_min,part_60min_sonuc,part_120min_sonuc,part_60min_sonuc_elargi,part_60min_sonu
North,HT0372,Pilate,14392.0,60535.0,82.05004358653996,0.0,0.8583673885038431,0.8583673885038431,0.8583673885038431
South,HT0716,Ile a Vache,4263.0,17491.0,,0.0,0.0,0.0,0.9065241079955666
Grande'Anse,HT0823,Les Irois,5827.000000000001,24756.000000000007,79.91455746351463,0.0,0.9491653364973366,0.9491653364973366,0.9491653364973366
North-West,HT0933,Bombardopolis,9236.0,37868.0,154.67814706173348,0.0,0.10468973974142551,0.8063498130745557,0.8063498130745557
North-West,HT0932,Baie de Henne,7080.0,28588.000000000007,103.51457691187726,0.0,0.9512436515343414,0.9696163141143378,0.9696163141143378
North-West,HT0931,Mole Saint Nicolas,9143.999999999998,36005.0,105.08162375747452,0.0,0.8840554622704458,0.9971539422173213,0.9971539422173213
North-West,HT0912,La Tortue,10364.000000000002,40156.00000000001,,0.0,0.0,0.8582473703805731,0.8582473703805731
North-East,HT0441,Vallieres,7037.0,27514.0,77.91592080415006,0.0,1.0,1.0,1.0
Nippes,HT1025,Plaisance du Sud,7388.999999999999,32167.999999999996,71.97370399200237,0.0,0.9939248354854403,1.0,1.0
Centre,HT0612,Maissade,19482.0,78577.00000000001,81.56107693982176,0.0,0.9839811754664707,0.9839811754664707,0.9839811754664707
Nippes,HT1031,Baraderes,10582.999999999996,45621.999999999985,82.0634316197726,0.0,0.7585835216099117,0.8737211982474581,0.8737211982474581
Nippes,HT1032,Grand-Boucan,1528.9999999999998,6460.0,,0.0,0.0,0.7616625829809994,0.7616625829809994
West,HT0123,Grand-Goave,36926.99999999999,157548.99999999997,93.71112139875588,0.0011160736914038996,0.7882454897889648,0.835992892347584,0.835992892347584
West,HT0122,Petit-Goave,46231.99999999999,194867.0,75.53521827133851,0.007518459798795067,0.9563577628524177,0.9796512422141957,0.9796512422141957
Nippes,HT1021,Anse-a-Veau,9374.0,37907.0,85.05660725859597,0.009238074152778265,0.9381631242718972,0.9381631242718972,0.9381631242718972
Grande'Anse,HT0831,Corail,6481.0,28292.0,65.86497797471176,0.012068487048151359,0.9136229450349351,0.9136229450349351,0.9136229450349351
West,HT0134,Cornillon / Grand Bois,14475.0,66185.0,83.9769449260378,0.01839214649528693,0.6359872658201752,0.8010962969805491,0.8010962969805491
North,HT0371,Plaisance,19172.0,76929.0,65.86364090587331,0.05272542888479285,0.9103131464353738,0.9103131464353738,0.9103131464353738
West,HT0121,Leogane,58987.00000000001,233614.0,71.24553188901058,0.058989415994935006,0.9550942761680118,0.9536453023214874,0.9536453023214874
Grande'Anse,HT0834,Pestel,11448.0,48575.00000000001,100.53955446450477,0.06867744038871872,0.7659541776220302,0.79214141829115,0.79214141829115
West,HT0135,Fonds-Verrettes,11884.0,54717.0,82.77993602582005,0.11723075674510636,0.9610252990245397,0.9652175874836142,0.9652175874836142
Grande'Anse,HT0815,Chambellan,8843.0,35368.0,90.81994966853117,0.11770362698440452,0.565309122259255,0.565309122259255,0.565309122259255
North-West,HT0934,Jean Rabel,41746.99999999999,156750.0,73.9771175214933,0.13393863999083602,0.9554319804658669,1.0,1.0
Nippes,HT1022,Petit Trou de Nippes,7716.999999999999,33793.0,97.37153728314551,0.15474234071296047,1.0,1.0,1.0
Nippes,HT1024,Arnaud,5719.999999999998,23478.999999999993,71.85628636307841,0.15492563050021144,0.9828476060002133,0.9828476060002133,0.9828476060002133
South-East,HT0231,Belle Anse,24229.999999999996,95780.99999999999,83.11997290272464,0.15795099052309952,0.9521306556624306,0.969170595562624,0.969170595562624
Nippes,HT1012,Petite Riviere de Nippes,8775.000000000002,34943.0,67.84003189011813,0.1678627403203935,0.998938588829566,0.998938588829566,0.998938588829566
Centre,HT0633,Savanette,12326.000000000002,46902.0,76.58135157174448,0.20019871571317072,0.8071600541045474,0.8809978931971463,0.8809978931971463
Grande'Anse,HT0821,Anse d'Hainault,12156.000000000002,49099.00000000001,64.50312646441985,0.24734072696069967,1.0,1.0,1.0
West,HT0152,Pointe a Raquette,5754.0,26817.999999999996,75.42014226662559,0.25744205355745703,0.9071660732994159,0.9475221868560979,0.9475221868560979
West,HT0115,Kenscoff,16365.0,63006.0,61.10114987537096,0.2682442682628171,0.47337065598629713,0.4922752694776754,0.4922752694776754
West,HT0141,Arcahaie,35825.0,142752.0,64.36547493662621,0.3032782765484221,0.94396306816487,0.9509269182750227,0.9509269182750227
South-East,HT0221,Bainet,26239.0,113034.0,63.688697878791515,0.32605470197786685,0.8409056187559235,0.8593163992040996,0.8593163992040996
Artibonite,HT0523,Anse Rouge,12525.0,47668.0,63.295746824773076,0.3414447313788293,0.9337312984298388,0.9337312984298388,0.9337312984298388
Artibonite,HT0522,Terre Neuve,7623.0,32784.0,69.07296250130362,0.37187272256002823,0.863196005299822,0.863196005299822,0.863196005299822
Grande'Anse,HT0814,Moron,8669.0,36686.0,5.484689013585001,0.3741218713794873,0.3741218713794873,0.3741218713794873,0.3741218713794873
North-East,HT0443,Mombin Crochu,9921.0,40343.0,68.92981402087071,0.4309773665450525,1.0,1.0,1.0
North-East,HT0432,Sainte Suzanne,7545.0,32812.0,72.504731634819,0.4392897547269622,1.0,1.0,1.0
South-East,HT0214,La Vallee,10785.999999999998,47372.00000000001,58.26546641531115,0.4549030655008095,0.9052025148592132,0.9052025148592132,0.9052025148592132
South,HT0753,Tiburon,7155.0,28474.0,57.31439513386361,0.538441553124587,0.8713872531113455,0.8713872531113455,0.8713872531113455
West,HT0133,Ganthier,17117.0,65036.000000000015,52.24018612201498,0.548270206760631,0.7989998968628815,0.7989998968628815,0.7989998968628815
West,HT0142,Cabaret,16472.0,65301.99999999999,57.99352088684391,0.5553279299812878,0.9545178142954578,0.9530123884685491,0.9530123884685491
South-East,HT0212,Marigot,24979.0,92869.00000000001,49.285702323516965,0.5781559465096998,0.8264977855964285,0.8172821006971809,0.8172821006971809
Grande'Anse,HT0812,Abricots,10951.0,47470.0,43.67795625784358,0.5821862335731834,0.7806393562916097,0.7806393562916097,0.7806393562916097
South-East,HT0222,Cotes de Fer,14000.0,63370.00000000001,27.61899569201462,0.6307188718084079,0.7159079081770092,0.8673480808444752,0.8673480808444752
Centre,HT0623,Boucan Carre,19515.0,79705.0,21.277152594259736,0.6607409471504452,0.7826574825164428,0.6607409471504452,0.6607409471504452
North,HT0351,Borgne,17389.000000000004,70765.0,6.5734756902319775,0.6706070420555269,0.6706070420555269,1.0,1.0
Centre,HT0613,Thomonde,20646.0,85152.0,42.59975899755961,0.6846407970087248,1.0,0.9699179547195285,0.9699179547195285
South,HT0713,Chantal,10212.000000000002,41237.0,25.91818468617823,0.701385531590421,0.7464151354439025,0.7316185410058906,0.7316185410058906
Artibonite,HT0551,Saint-Michel de l'Attalaye,38840.00000000001,154615.0,36.28153335417682,0.711133972009141,0.9918587588588744,0.9219850194904949,0.9219850194904949
South-East,HT0233,Thiotte,11686.0,46177.99999999999,44.72138587709991,0.7128508668223155,1.0,1.0,1.0
Artibonite,HT0513,L'Estere,12330.0,44802.0,33.57190584614047,0.7248369964751392,1.0,0.776120137649195,0.776120137649195
Grande'Anse,HT0811,Jeremie,42354.99999999999,155299.00000000003,9.507096760167,0.726285343338658,0.825078201058597,0.7889427187533774,0.7889427187533774
Grande'Anse,HT0833,Beaumont,9293.0,35380.0,49.19682723514422,0.7284166950456955,0.9835247501495638,0.9248852720928282,0.9248852720928282
West,HT0116,Gressier,982.0,3987.0,40.83058990537689,0.7432520167786107,0.9076071186763817,0.8040989549408706,0.8040989549408706
South,HT0741,Coteaux,6191.0,25395.000000000004,19.81327614053349,0.7460055691030945,0.7535896601683132,0.7467621783678223,0.7467621783678223
North,HT0342,Dondon,9406.0,36398.0,22.7622221943658,0.7833066863176692,1.0,0.9595906014142003,0.9595906014142003
North-West,HT0913,Bassin Bleu,17011.0,65669.0,43.961122252515565,0.78351191745462,1.0,1.0,1.0
South,HT0733,Cavaillon,15620.000000000002,63397.0,40.91480498724345,0.8002730285232253,0.9266348190010172,0.9266348190010172,0.9266348190010172
North-East,HT0434,Caracol,2288.0000000000005,9005.000000000002,30.37141586074844,0.8064619646228299,0.8118526955481477,0.8118526955481477,0.8118526955481477
Grande'Anse,HT0832,Roseaux,9318.999999999998,41589.00000000001,55.71276053653858,0.8167899946649015,0.9335765635218595,0.9285162028405701,0.9285162028405701
South-East,HT0213,Cayes-Jacmel,12831.999999999998,49845.0,27.355379743016467,0.8261814188762798,0.9875393251801925,0.9308348438774514,0.9308348438774514
South,HT0743,Roche a Bateau,6457.0,28334.999999999996,3.3800007442578988,0.8329100152066029,0.8329100152066029,0.8329100152066029,0.8329100152066029
South,HT0715,Maniche,6159.999999999998,27506.999999999993,37.27000351067858,0.8354648795869652,0.8354648795869652,0.8354648795869652,0.8354648795869652
South,HT0742,Port-a-Piment,6253.0,26647.0,7.525327334724042,0.8372807734759582,0.8450065001834426,0.8372807734759582,0.8372807734759582
South,HT0722,Saint Jean du Sud,8374.000000000002,35362.0,34.53108348973845,0.8376583053758093,0.8429592446629396,0.8429592446629396,0.8429592446629396
Artibonite,HT0532,Verrettes,38984.0,146485.0,14.072573120543963,0.838923479838175,0.9532587947410032,0.937344141246849,0.937344141246849
Artibonite,HT0542,Petite Riviere de l'Artibonite,42900.99999999999,165494.0,10.270117025952494,0.8466798110431087,0.8910830922898378,0.9042463131159193,0.9042463131159193
Artibonite,HT0521,Gros Morne,40624.999999999985,162808.0,39.951414658569014,0.8468917644187086,0.9688836648192966,0.9734117178786726,0.9734117178786726
South-East,HT0211,Jacmel,69951.00000000001,258099.0,9.86825739035645,0.8909273654762047,0.9216282389344864,0.9149147566783874,0.9149147566783874
North,HT0343,Ranquitte,7474.000000000001,29256.000000000004,52.2741463779408,0.9024811714767612,1.0,1.0,1.0
Centre,HT0632,Belladere,30561.0,123067.0,16.80439928087942,0.9031098628323496,0.9275834163533068,0.9235373716705252,0.9235373716705252
