departement,pcode,commune,demande,demande_decrochee,minutes_perdues_medianes,part_decrochee
West,HT0131,Croix-Des-Bouquets,35820.0,21368.113045262395,45.42038219794631,0.5965414027153098
West,HT0111,Port-au-Prince,305054.99999999994,20991.19810504921,27.803370807901956,0.06881119176885878
West,HT0113,Carrefour,146744.0,12386.426879324785,38.22141983394977,0.08440840429131538
West,HT0141,Arcahaie,35825.0,10864.944257347222,47.260254907654605,0.3032782765484221
West,HT0133,Ganthier,17117.0,9384.741129121721,55.0440515326336,0.548270206760631
West,HT0142,Cabaret,16472.0,9147.361662651772,37.571984521462575,0.5553279299812878
Artibonite,HT0531,Saint-Marc,82866.0,8908.646124302679,0.0,0.1075066507892583
West,HT0118,Tabarre,44250.0,5436.857668090455,0.0,0.12286683995684644
West,HT0117,Cite Soleil,86828.00000000001,4929.933942520125,22.18075587134808,0.05677815845718114
West,HT0132,Thomazeau,13215.0,4290.97856633082,20.024709363002337,0.32470515068716005
West,HT0121,Leogane,58987.00000000001,3479.6086812932317,38.22141983394977,0.058989415994935006
West,HT0115,Kenscoff,16365.0,2547.970478590969,22.088993664365262,0.15569633233064276
Centre,HT0633,Savanette,12326.000000000002,1974.0839217969194,13.841284031746909,0.16015608646737944
Centre,HT0621,Mirebalais,34605.00000000001,1382.9935358859577,0.0,0.039965136133100924
West,HT0116,Gressier,982.0,705.2917359429396,38.22141983394977,0.7182196903695922
West,HT0114,Petion-Ville,120158.99999999999,656.0468785411034,17.26599403237924,0.0054598230556271565
West,HT0134,Cornillon / Grand Bois,14475.0,266.2263205192783,20.02470936300233,0.01839214649528693
South,HT0715,Maniche,6159.999999999998,0.0,0.0,0.0
North-West,HT0914,Chamsolme,7966.0,0.0,0.0,0.0
South,HT0713,Chantal,10212.000000000002,0.0,0.0,0.0
South,HT0716,Ile a Vache,4263.0,0.0,,0.0
South,HT0712,Torbeck,23747.000000000004,0.0,0.0,0.0
South,HT0711,Les Cayes,60684.0,0.0,0.0,0.0
North-West,HT0934,Jean Rabel,41746.99999999999,0.0,0.0,0.0
South,HT0714,Camp-Perrin,13265.0,0.0,0.0,0.0
North-West,HT0933,Bombardopolis,9236.0,0.0,0.0,0.0
North-West,HT0932,Baie de Henne,7080.0,0.0,0.0,0.0
North-West,HT0931,Mole Saint Nicolas,9143.999999999998,0.0,0.0,0.0
North-West,HT0922,Anse-a-Foleur,7944.000000000001,0.0,0.0,0.0
North-West,HT0921,Saint-Louis du Nord,32948.0,0.0,0.0,0.0
Artibonite,HT0511,Gonaives,110789.00000000001,0.0,0.0,0.0
North-West,HT0913,Bassin Bleu,17011.0,0.0,0.0,0.0
North-West,HT0912,La Tortue,10364.000000000002,0.0,,0.0
North-West,HT0911,Port-de-Paix,62937.0,0.0,0.0,0.0
North-East,HT0443,Mombin Crochu,9921.0,0.0,0.0,0.0
North-East,HT0442,Carice,3768.0,0.0,0.0,0.0
North-East,HT0441,Vallieres,7037.0,0.0,0.0,0.0
South,HT0722,Saint Jean du Sud,8374.000000000002,0.0,0.0,0.0
North-East,HT0434,Caracol,2288.0000000000005,0.0,0.0,0.0
North-East,HT0433,Terrier Rouge,8963.000000000002,0.0,0.0,0.0
North-East,HT0432,Sainte Suzanne,7545.0,0.0,0.0,0.0
North-East,HT0431,Trou du Nord,15700.0,0.0,0.0,0.0
North-East,HT0423,Mont-Organise,6367.0,0.0,0.0,0.0
South,HT0721,Port-Salut,6106.0,0.0,0.0,0.0
South,HT0752,Les Anglais,9531.000000000002,0.0,0.0,0.0
South,HT0723,Arniquet,8267.0,0.0,0.0,0.0
South,HT0731,Aquin,33336.0,0.0,0.0,0.0
West,HT0151,Anse a Galets,16880.999999999996,0.0,0.0,0.0
West,HT0135,Fonds-Verrettes,11884.0,0.0,0.0,0.0
West,HT0123,Grand-Goave,36926.99999999999,0.0,0.0,0.0
West,HT0122,Petit-Goave,46231.99999999999,0.0,0.0,0.0
West,HT0112,Delmas,135232.0,0.0,10.929283259436488,0.0
South-East,HT0234,Anse-a-Pitre,10673.0,0.0,0.0,0.0
South-East,HT0233,Thiotte,11686.0,0.0,0.0,0.0
South-East,HT0232,Grand Gosier,6167.0,0.0,0.0,0.0
South-East,HT0231,Belle Anse,24229.999999999996,0.0,0.0,0.0
South-East,HT0222,Cotes de Fer,14000.0,0.0,0.0,0.0
South-East,HT0221,Bainet,26239.0,0.0,0.0,0.0
South-East,HT0214,La Vallee,10785.999999999998,0.0,0.0,0.0
South-East,HT0213,Cayes-Jacmel,12831.999999999998,0.0,0.0,0.0
South-East,HT0212,Marigot,24979.0,0.0,0.0,0.0
South-East,HT0211,Jacmel,69951.00000000001,0.0,0.0,0.0
South,HT0753,Tiburon,7155.0,0.0,0.0,0.0
North-East,HT0421,Ouanaminthe,34949.0,0.0,0.0,0.0
South,HT0751,Chardonnieres,7622.000000000001,0.0,0.0,0.0
South,HT0743,Roche a Bateau,6457.0,0.0,0.0,0.0
South,HT0742,Port-a-Piment,6253.0,0.0,0.0,0.0
South,HT0741,Coteaux,6191.0,0.0,0.0,0.0
South,HT0733,Cavaillon,15620.000000000002,0.0,0.0,0.0
South,HT0732,Saint Louis du Sud,21736.0,0.0,0.0,0.0
North-East,HT0422,Capotille,5549.0,0.0,0.0,0.0
North-East,HT0412,Ferrier,4268.999999999999,0.0,0.0,0.0
North-East,HT0413,Perches,3595.0,0.0,0.0,0.0
Grande'Anse,HT0812,Abricots,10951.0,0.0,0.0,0.0
Centre,HT0623,Boucan Carre,19515.0,0.0,0.0,0.0
Centre,HT0631,Lascahobas,16447.0,0.0,1.7743229868356138,0.0
Centre,HT0632,Belladere,30561.0,0.0,0.0,0.0
Centre,HT0641,Cerca La Source,18372.0,0.0,0.0,0.0
Centre,HT0642,Thomassique,20996.999999999996,0.0,0.0,0.0
Grande'Anse,HT0811,Jeremie,42354.99999999999,0.0,0.0,0.0
Grande'Anse,HT0813,Bonbon,2374.0,0.0,0.0,0.0
Artibonite,HT0512,Ennery,13251.000000000002,0.0,0.0,0.0
Grande'Anse,HT0814,Moron,8669.0,0.0,0.0,0.0
Grande'Anse,HT0815,Chambellan,8843.0,0.0,0.0,0.0
Grande'Anse,HT0821,Anse d'Hainault,12156.000000000002,0.0,0.0,0.0
Grande'Anse,HT0822,Dame Marie,10835.999999999998,0.0,0.0,0.0
Grande'Anse,HT0823,Les Irois,5827.000000000001,0.0,0.0,0.0
Grande'Anse,HT0831,Corail,6481.0,0.0,0.0,0.0
Centre,HT0622,Saut d'Eau,12991.999999999998,0.0,0.0,0.0
Centre,HT0614,Cerca Carvajal,7889.0,0.0,0.0,0.0
Centre,HT0613,Thomonde,20646.0,0.0,0.0,0.0
Centre,HT0612,Maissade,19482.0,0.0,0.0,0.0
Centre,HT0611,Hinche,43101.0,0.0,0.0,0.0
Artibonite,HT0552,Marmelade,9778.0,0.0,0.0,0.0
Artibonite,HT0551,Saint-Michel de l'Attalaye,38840.00000000001,0.0,0.0,0.0
Artibonite,HT0544,Desdunes,10098.999999999998,0.0,0.0,0.0
Artibonite,HT0543,Grande Saline,6238.0,0.0,0.0,0.0
Artibonite,HT0542,Petite Riviere de l'Artibonite,42900.99999999999,0.0,0.0,0.0
Artibonite,HT0541,Dessalines,47191.0,0.0,0.0,0.0
Artibonite,HT0533,La Chapelle,7694.000000000001,0.0,0.0,0.0
Artibonite,HT0532,Verrettes,38984.0,0.0,0.0,0.0
Artibonite,HT0523,Anse Rouge,12525.0,0.0,0.0,0.0
Artibonite,HT0522,Terre Neuve,7623.0,0.0,0.0,0.0
Artibonite,HT0521,Gros Morne,40624.999999999985,0.0,0.0,0.0
Artibonite,HT0513,L'Estere,12330.0,0.0,0.0,0.0
Grande'Anse,HT0832,Roseaux,9318.999999999998,0.0,0.0,0.0
Grande'Anse,HT0833,Beaumont,9293.0,0.0,0.0,0.0
Grande'Anse,HT0834,Pestel,11448.0,0.0,0.0,0.0
North,HT0323,Milot,8825.999999999998,0.0,0.0,0.0
North-East,HT0411,Fort-Liberte,11196.999999999996,0.0,0.0,0.0
North,HT0372,Pilate,14392.0,0.0,0.0,0.0
North,HT0371,Plaisance,19172.0,0.0,0.0,0.0
North,HT0362,Bas Limbe,5871.000000000001,0.0,0.0,0.0
North,HT0361,Limbe,25318.000000000004,0.0,0.0,0.0
North,HT0352,Port-Margot,13010.0,0.0,0.0,0.0
North,HT0351,Borgne,17389.000000000004,0.0,0.0,0.0
North,HT0345,La Victoire,2799.0000000000005,0.0,0.0,0.0
North,HT0344,Pignon,12067.000000000002,0.0,0.0,0.0
North,HT0343,Ranquitte,7474.000000000001,0.0,0.0,0.0
North,HT0342,Dondon,9406.0,0.0,0.0,0.0
North,HT0341,Saint-Raphael,14336.999999999998,0.0,0.0,0.0
North,HT0332,Bahon,6037.0,0.0,0.0,0.0
North,HT0331,Grande Riviere Du Nord,11919.0,0.0,0.0,0.0
North,HT0322,Plaine du Nord,11749.0,0.0,0.0,0.0
Nippes,HT1011,Miragoane,19606.000000000004,0.0,0.0,0.0
North,HT0321,Acul du Nord,15800.999999999998,0.0,0.0,0.0
North,HT0313,Limonade,15921.0,0.0,0.0,0.0
North,HT0312,Quartier Morin,7966.999999999999,0.0,0.0,0.0
North,HT0311,Cap-Haitien,97765.0,0.0,0.0,0.0
Nippes,HT1032,Grand-Boucan,1528.9999999999998,0.0,,0.0
Nippes,HT1031,Baraderes,10582.999999999996,0.0,0.0,0.0
Nippes,HT1025,Plaisance du Sud,7388.999999999999,0.0,0.0,0.0
Nippes,HT1024,Arnaud,5719.999999999998,0.0,0.0,0.0
Nippes,HT1023,L'Asile,11481.999999999998,0.0,0.0,0.0
Nippes,HT1022,Petit Trou de Nippes,7716.999999999999,0.0,0.0,0.0
Nippes,HT1021,Anse-a-Veau,9374.0,0.0,0.0,0.0
Nippes,HT1014,Paillant,5671.0,0.0,0.0,0.0
Nippes,HT1013,Fonds des Negres,10599.999999999998,0.0,0.0,0.0
Nippes,HT1012,Petite Riviere de Nippes,8775.000000000002,0.0,0.0,0.0
West,HT0152,Pointe a Raquette,5754.0,0.0,0.0,0.0
